policy,M_ratio,cold_start_scale,CSR,total_cost,avg_mem_util,runtime_s
"dtlm[q=1.0,linear]",0.2,1.0,0.18090283898079834,80182300.0,0.9360541522655058,10.5
"dtlm[q=1.0,step]",0.2,1.0,0.17394458014028433,77070190.0,0.93516908838853,9.9
"dtlm[q=2.0,exponential]",0.2,1.0,0.1851863509570054,82239840.0,0.9352528422723198,11.1
"dtlm[q=2.0,linear]",0.2,1.0,0.17974452810023026,79123490.0,0.9518724677511379,13.2
"dtlm[q=2.0,step]",0.2,1.0,0.1744971559830674,76590760.0,0.9516023704280625,12.8
"dtlm[q=3.0,exponential]",0.2,1.0,0.17852886124610748,78492520.0,0.951677010680192,13.3
"dtlm[q=3.0,linear]",0.2,1.0,0.18689933606963294,82397450.0,0.9515681218918118,13.8
"dtlm[q=3.0,step]",0.2,1.0,0.18264310315401897,80335910.0,0.9517194454837743,13.3
"dtlm[q=5.0,exponential]",0.2,1.0,0.18780514077394192,82927210.0,0.951527577210546,13.9
"dtlm[q=5.0,linear]",0.2,1.0,0.19445913316937918,85788660.0,0.9513864652239147,14.1
"dtlm[q=5.0,step]",0.2,1.0,0.1909394348897786,84267460.0,0.9514347185207833,13.8
"dtlm[q=1.0,exponential]",0.3,1.0,0.12300338260351354,54331550.0,0.9078647241012803,5.6
"dtlm[q=1.0,linear]",0.3,1.0,0.11552612214863871,50747030.0,0.9380514095501079,5.7
"dtlm[q=1.0,step]",0.3,1.0,0.11912276136837363,52559930.0,0.917713059187279,5.7
"dtlm[q=2.0,exponential]",0.3,1.0,0.11709501786428737,51531550.0,0.9370997424037517,6.3
"dtlm[q=2.0,linear]",0.3,1.0,0.05118391122974005,20556490.0,0.9599562014416463,6.7
"dtlm[q=2.0,step]",0.3,1.0,0.072953301046117,29442610.0,0.9533250681723645,6.6
"dtlm[q=3.0,exponential]",0.3,1.0,0.06258026338982198,25470960.0,0.958979895062121,7.0
"dtlm[q=3.0,linear]",0.3,1.0,0.04763343657408573,19254110.0,0.9607262489670639,6.7
"dtlm[q=3.0,step]",0.3,1.0,0.05338022533902976,21280290.0,0.9595236250825314,6.6
"dtlm[q=5.0,exponential]",0.3,1.0,0.05065931391064219,20566490.0,0.9602960884936037,6.8
"dtlm[q=5.0,linear]",0.3,1.0,0.04592954448165588,18583470.0,0.9607849029633005,6.4
"dtlm[q=5.0,step]",0.3,1.0,0.04813425214805116,19491960.0,0.9608503032259044,6.4
"dtlm[q=1.0,exponential]",0.5,1.0,0.10749488692479653,47198880.0,0.8209289456451312,4.2
"dtlm[q=1.0,linear]",0.5,1.0,0.08594932529790134,36771730.0,0.9109511136248251,4.4
"dtlm[q=1.0,step]",0.5,1.0,0.08644804248259036,37762290.0,0.8287503264954073,4.2
"dtlm[q=2.0,exponential]",0.5,1.0,0.0812559279497058,34813760.0,0.9038496153371094,4.5
"dtlm[q=2.0,linear]",0.5,1.0,0.017311012067137265,7111300.0,0.9316889699508067,4.7
"dtlm[q=2.0,step]",0.5,1.0,0.048599395104317926,17833520.0,0.918164795769235,4.3
"dtlm[q=3.0,exponential]",0.5,1.0,0.02490228500602937,9312380.0,0.9301591058116834,4.8
"dtlm[q=3.0,linear]",0.5,1.0,0.014175319025116321,5992760.0,0.9325470169580543,4.6
"dtlm[q=3.0,step]",0.5,1.0,0.020509656787449954,8064960.0,0.9304677463867536,4.7
"dtlm[q=5.0,exponential]",0.5,1.0,0.015865921318795693,6694220.0,0.9318039315598683,4.8
"dtlm[q=5.0,linear]",0.5,1.0,0.013348553650218092,5704940.0,0.9326162640358604,4.7
"dtlm[q=5.0,step]",0.5,1.0,0.01440684130861151,6088300.0,0.932177282983778,4.6
